nome;idhm;idhmr;idhme;idhml
Belém (AL);0.593;0.764;0.464;0.587
Campo Novo de Rondônia (RO);0.593;0.772;0.404;0.667
São Bento do Una (PE);0.593;0.789;0.446;0.593
Jardim do Mulato (PI);0.593;0.711;0.55;0.532
Tamandaré (PE);0.593;0.745;0.479;0.583
Miravânia (MG);0.593;0.781;0.492;0.544
São Miguel das Matas (BA);0.593;0.783;0.468;0.568
Tacuru (MS);0.593;0.782;0.434;0.615
Maraú (BA);0.593;0.801;0.404;0.643
Aragominas (TO);0.593;0.739;0.461;0.611
Pão de Açúcar (AL);0.593;0.793;0.491;0.536
Antas (BA);0.592;0.739;0.491;0.573
Brejinho (RN);0.592;0.722;0.492;0.585
Tartarugalzinho (AP);0.592;0.794;0.473;0.553
Belém (PB);0.592;0.759;0.492;0.557
São Gabriel (BA);0.592;0.704;0.537;0.55
Pedrinhas (SE);0.592;0.75;0.486;0.568
Passira (PE);0.592;0.763;0.487;0.559
Araçoiaba (PE);0.592;0.765;0.498;0.544
Agrestina (PE);0.592;0.76;0.47;0.581
Riachuelo (RN);0.592;0.767;0.481;0.561
Barão de Grajaú (MA);0.592;0.743;0.484;0.578
Santa Rosa de Lima (SE);0.592;0.766;0.514;0.527
Santanópolis (BA);0.592;0.746;0.496;0.561
Brejolândia (BA);0.592;0.746;0.523;0.533
Venturosa (PE);0.592;0.751;0.484;0.57
Queimadas (BA);0.592;0.764;0.493;0.55
Souto Soares (BA);0.592;0.734;0.53;0.533
Governador Dix-Sept Rosado (RN);0.592;0.759;0.485;0.564
Alvarenga (MG);0.592;0.798;0.441;0.589
São Vicente Ferrer (MA);0.592;0.762;0.541;0.504
Conceição do Tocantins (TO);0.592;0.739;0.478;0.588
Nova Belém (MG);0.592;0.768;0.481;0.563
Cupira (PE);0.592;0.763;0.453;0.601
Coração de Maria (BA);0.592;0.762;0.489;0.558
Ingá (PB);0.592;0.768;0.471;0.573
Alto Alegre dos Parecis (RO);0.592;0.777;0.443;0.603
Serrinha (RN);0.592;0.757;0.502;0.547
Caridade (CE);0.592;0.779;0.505;0.528
Viçosa (RN);0.592;0.747;0.502;0.552
Juruti (PA);0.592;0.756;0.501;0.547
Bom Sucesso (PB);0.592;0.752;0.494;0.558
Conceição (PB);0.592;0.754;0.476;0.577
Mazagão (AP);0.592;0.758;0.449;0.609
Itaju do Colônia (BA);0.592;0.724;0.502;0.57
Juvenília (MG);0.592;0.776;0.501;0.535
Miraíma (CE);0.592;0.778;0.523;0.51
Itapetim (PE);0.592;0.704;0.494;0.598
Caiçara (PB);0.592;0.733;0.488;0.58
Fronteira dos Vales (MG);0.592;0.813;0.46;0.556
Tenente Ananias (RN);0.592;0.779;0.468;0.57
Coremas (PB);0.592;0.794;0.452;0.578
São Caitano (PE);0.591;0.756;0.469;0.583
Quixelô (CE);0.591;0.725;0.52;0.548
São José de Piranhas (PB);0.591;0.755;0.461;0.594
São Miguel do Gostoso (RN);0.591;0.79;0.468;0.558
Iuiú (BA);0.591;0.74;0.504;0.553
Candiba (BA);0.591;0.743;0.481;0.578
Cuité (PB);0.591;0.766;0.47;0.574
São Miguel dos Milagres (AL);0.591;0.752;0.504;0.545
Ibiracatu (MG);0.591;0.786;0.489;0.537
Pocinhos (PB);0.591;0.779;0.477;0.556
Riacho de Santana (RN);0.591;0.776;0.489;0.545
Umari (CE);0.591;0.778;0.497;0.535
Regeneração (PI);0.591;0.714;0.498;0.582
Ibicoara (BA);0.591;0.731;0.484;0.583
Jerumenha (PI);0.591;0.787;0.461;0.569
Santana do Ipanema (AL);0.591;0.77;0.463;0.579
São Miguel do Guamá (PA);0.591;0.752;0.471;0.582
Brejo Grande do Araguaia (PA);0.591;0.743;0.473;0.588
Santana do Matos (RN);0.591;0.767;0.482;0.559
Mirandiba (PE);0.591;0.769;0.525;0.512
Dom Basílio (BA);0.591;0.783;0.482;0.547
Pires Ferreira (CE);0.591;0.769;0.526;0.51
Presidente Médici (MA);0.591;0.762;0.522;0.518
Cotegipe (BA);0.59;0.746;0.504;0.545
Sapucaia (PA);0.59;0.792;0.405;0.639
Buriti Bravo (MA);0.59;0.752;0.506;0.539
Montadas (PB);0.59;0.748;0.505;0.545
Utinga (BA);0.59;0.706;0.487;0.597
Croatá (CE);0.59;0.76;0.544;0.497
Pai Pedro (MG);0.59;0.76;0.52;0.52
Ararendá (CE);0.59;0.763;0.516;0.522
Marcos Parente (PI);0.59;0.717;0.494;0.58
Porto do Mangue (RN);0.59;0.732;0.504;0.558
Frei Gaspar (MG);0.59;0.799;0.452;0.569
Mundo Novo (BA);0.59;0.791;0.429;0.606
São Domingos do Azeitão (MA);0.59;0.732;0.486;0.576
Santana do São Francisco (SE);0.59;0.716;0.526;0.544
Canavieiras (BA);0.59;0.796;0.434;0.596
Pedras de Fogo (PB);0.59;0.771;0.468;0.568
Santa Maria (RN);0.59;0.779;0.477;0.554
Santa Maria da Boa Vista (PE);0.59;0.773;0.472;0.564
Serrolândia (BA);0.59;0.721;0.508;0.56
Paratinga (BA);0.59;0.774;0.51;0.519
Ipupiara (BA);0.59;0.736;0.499;0.558
Bom Jesus do Tocantins (PA);0.589;0.777;0.437;0.601
Frei Paulo (SE);0.589;0.768;0.428;0.623
Conceição do Canindé (PI);0.589;0.759;0.482;0.559
Olho D'Água das Cunhãs (MA);0.589;0.754;0.491;0.551
Baianópolis (BA);0.589;0.763;0.492;0.543
Theobroma (RO);0.589;0.757;0.434;0.622
Lajeado Novo (MA);0.589;0.738;0.494;0.561
Monte Alegre (PA);0.589;0.764;0.495;0.541
Dormentes (PE);0.589;0.741;0.495;0.558
Paraná (RN);0.589;0.776;0.496;0.532
São Domingos do Cariri (PB);0.589;0.773;0.438;0.603
Bujari (AC);0.589;0.772;0.439;0.603
Redenção do Gurguéia (PI);0.589;0.766;0.478;0.557
Uruará (PA);0.589;0.798;0.42;0.609
Carnaubais (RN);0.589;0.738;0.476;0.583
Passagem (RN);0.589;0.747;0.501;0.547
Lago da Pedra (MA);0.589;0.724;0.502;0.561
Neópolis (SE);0.589;0.702;0.505;0.575
Coronel Sapucaia (MS);0.589;0.806;0.417;0.607
Paulo Jacinto (AL);0.589;0.732;0.507;0.551
Anguera (BA);0.589;0.766;0.471;0.565
São Pedro (RN);0.589;0.794;0.449;0.574
Esplanada (BA);0.589;0.74;0.469;0.589
Itagibá (BA);0.589;0.77;0.469;0.566
Palestina do Pará (PA);0.589;0.761;0.467;0.574
Lagoa de Velhos (RN);0.589;0.789;0.458;0.566
Tocantínia (TO);0.589;0.782;0.459;0.57
Piranhas (AL);0.589;0.786;0.462;0.563
Santa Luz (PI);0.588;0.768;0.49;0.539
Caldeirão Grande do Piauí (PI);0.588;0.744;0.486;0.561
Urbano Santos (MA);0.588;0.77;0.522;0.506
Tailândia (PA);0.588;0.776;0.45;0.583
Paranhos (MS);0.588;0.811;0.444;0.566
Morrinhos (CE);0.588;0.76;0.511;0.524
Maués (AM);0.588;0.8;0.464;0.549
Camocim de São Félix (PE);0.588;0.738;0.472;0.585
Belterra (PA);0.588;0.775;0.478;0.548
São Domingos (SE);0.588;0.756;0.471;0.572
Ataléia (MG);0.588;0.813;0.423;0.592
Morro do Chapéu (BA);0.588;0.766;0.478;0.554
Andorinha (BA);0.588;0.731;0.474;0.586
Assis Brasil (AC);0.588;0.77;0.456;0.578
Boca do Acre (AM);0.588;0.777;0.455;0.576
Luís Domingues (MA);0.588;0.734;0.512;0.541
Colônia do Piauí (PI);0.588;0.772;0.462;0.57
Aramari (BA);0.588;0.761;0.47;0.568
Urucurituba (AM);0.588;0.776;0.487;0.538
Pedrão (BA);0.588;0.775;0.49;0.534
Afrânio (PE);0.588;0.761;0.493;0.542
Carira (SE);0.588;0.791;0.442;0.581
Feira da Mata (BA);0.588;0.763;0.505;0.527
Dom Feliciano (RS);0.587;0.818;0.39;0.633
Canarana (BA);0.587;0.734;0.496;0.555
Wagner (BA);0.587;0.737;0.479;0.573
Paulista (PB);0.587;0.747;0.461;0.587
Santa Teresinha (BA);0.587;0.804;0.459;0.549
Malhador (SE);0.587;0.781;0.442;0.587
Tupiratins (TO);0.587;0.791;0.425;0.601
Montezuma (MG);0.587;0.809;0.425;0.587
Monte Horebe (PB);0.587;0.755;0.463;0.579
Moita Bonita (SE);0.587;0.792;0.429;0.596
Presidente Vargas (MA);0.587;0.768;0.56;0.47
Santana do Acaraú (CE);0.587;0.755;0.5;0.536
Castelo do Piauí (PI);0.587;0.754;0.473;0.566
São Francisco (SE);0.587;0.732;0.49;0.564
Nossa Senhora da Glória (SE);0.587;0.75;0.456;0.591
Nova Mamoré (RO);0.587;0.769;0.424;0.619
Coronel Ezequiel (RN);0.587;0.778;0.476;0.545
Candeal (BA);0.587;0.787;0.465;0.554
Nova União (RO);0.587;0.753;0.442;0.608
Pé de Serra (BA);0.587;0.779;0.465;0.558
Umirim (CE);0.587;0.751;0.524;0.514
Joaíma (MG);0.587;0.789;0.448;0.572
Cachoeira dos Índios (PB);0.587;0.766;0.453;0.583
Caiçara do Rio do Vento (RN);0.587;0.734;0.499;0.553
Poço Branco (RN);0.587;0.766;0.471;0.562
Guaraqueçaba (PR);0.587;0.792;0.434;0.587
Santarém Novo (PA);0.587;0.774;0.502;0.52
Vera Cruz (RN);0.587;0.735;0.494;0.558
Esperantinópolis (MA);0.586;0.713;0.503;0.561
Campo Formoso (BA);0.586;0.749;0.475;0.566
Palmas de Monte Alto (BA);0.586;0.777;0.462;0.561
Chaval (CE);0.586;0.716;0.536;0.524
Coqueiro Seco (AL);0.586;0.757;0.457;0.582
Porto Calvo (AL);0.586;0.723;0.498;0.558
Sussuapara (PI);0.586;0.749;0.476;0.563
Nhamundá (AM);0.586;0.779;0.503;0.513
Laje (BA);0.586;0.764;0.48;0.548
Itaquitinga (PE);0.586;0.715;0.509;0.554
Tavares (PB);0.586;0.777;0.462;0.56
Ibiara (PB);0.586;0.768;0.479;0.548
Varzedo (BA);0.586;0.753;0.461;0.581
Barreiros (PE);0.586;0.73;0.491;0.561
Nossa Senhora de Nazaré (PI);0.586;0.78;0.462;0.557
Viçosa (AL);0.586;0.758;0.478;0.554
Serra Grande (PB);0.586;0.745;0.491;0.549
Miguel Calmon (BA);0.586;0.745;0.472;0.571
Coari (AM);0.586;0.78;0.425;0.606
Tomé-Açu (PA);0.586;0.798;0.424;0.596
Granjeiro (CE);0.585;0.715;0.526;0.533
Nina Rodrigues (MA);0.585;0.774;0.547;0.474
São Caetano de Odivelas (PA);0.585;0.767;0.473;0.552
Sairé (PE);0.585;0.784;0.44;0.581
Cícero Dantas (BA);0.585;0.712;0.477;0.59
Baixa Grande (BA);0.585;0.775;0.471;0.549
Solidão (PE);0.585;0.755;0.485;0.547
Xique-Xique (BA);0.585;0.741;0.479;0.563
Alto Longá (PI);0.585;0.751;0.47;0.567
Rio Tinto (PB);0.585;0.742;0.48;0.562
Sento Sé (BA);0.585;0.778;0.48;0.535
Laranjal (PR);0.585;0.79;0.436;0.581
Mamanguape (PB);0.585;0.756;0.453;0.585
Choró (CE);0.585;0.778;0.523;0.493
Nacip Raydan (MG);0.585;0.831;0.377;0.64
Olho-D'Água do Borges (RN);0.585;0.719;0.482;0.577
Crisólita (MG);0.585;0.799;0.432;0.579
Lagoa Nova (RN);0.585;0.764;0.483;0.542
Central do Maranhão (MA);0.585;0.713;0.557;0.503
Ibitiara (BA);0.585;0.744;0.49;0.55
São Tomé (RN);0.585;0.77;0.461;0.565
Caraúbas (PB);0.585;0.71;0.485;0.58
Curral de Dentro (MG);0.585;0.759;0.462;0.571
Afonso Bezerra (RN);0.585;0.713;0.502;0.56
Alegrete do Piauí (PI);0.585;0.749;0.475;0.564
Juarina (TO);0.584;0.742;0.478;0.563
Nova Iorque (MA);0.584;0.729;0.489;0.558
Matriz de Camaragibe (AL);0.584;0.777;0.473;0.541
Cavalcante (GO);0.584;0.808;0.415;0.595
Santo Antônio de Lisboa (PI);0.584;0.704;0.473;0.597
Verdelândia (MG);0.584;0.797;0.462;0.542
Umbuzeiro (PB);0.584;0.712;0.514;0.545
Ibipitanga (BA);0.584;0.757;0.475;0.553
Landri Sales (PI);0.584;0.738;0.48;0.563
Parari (PB);0.584;0.733;0.467;0.583
Lajedo do Tabocal (BA);0.584;0.764;0.479;0.545
Cafarnaum (BA);0.584;0.734;0.49;0.554
Tejuçuoca (CE);0.584;0.742;0.52;0.517
Tabocas do Brejo Velho (BA);0.584;0.764;0.492;0.53
Ibicuí (BA);0.584;0.78;0.435;0.586
Feira Nova (SE);0.584;0.773;0.473;0.546
Bom Jesus (RN);0.584;0.743;0.46;0.583
São Francisco do Brejão (MA);0.584;0.748;0.479;0.556
Vale do Anari (RO);0.584;0.756;0.421;0.626
Érico Cardoso (BA);0.584;0.758;0.471;0.558
Itanagra (BA);0.584;0.796;0.433;0.577
Riacho da Cruz (RN);0.584;0.751;0.487;0.545
Buritirana (MA);0.583;0.725;0.505;0.54
Logradouro (PB);0.583;0.776;0.47;0.544
Cabeceiras do Piauí (PI);0.583;0.769;0.476;0.54
São João da Ponta (PA);0.583;0.767;0.495;0.522
Itaueira (PI);0.583;0.727;0.46;0.594
Dois Irmãos do Tocantins (TO);0.583;0.813;0.442;0.551
Santa Bárbara (BA);0.583;0.775;0.462;0.554
Pau Brasil (BA);0.583;0.727;0.47;0.58
Lagoa do Piauí (PI);0.583;0.778;0.464;0.548
Itacaré (BA);0.583;0.807;0.413;0.594
Praia Norte (TO);0.583;0.73;0.517;0.526
Cristália (MG);0.583;0.795;0.482;0.518
Coluna (MG);0.583;0.782;0.43;0.59
Capitão de Campos (PI);0.583;0.773;0.465;0.552
Pinhão (SE);0.583;0.711;0.48;0.58
Floresta do Araguaia (PA);0.583;0.792;0.437;0.573
Pedro Avelino (RN);0.583;0.788;0.435;0.577
Paramoti (CE);0.583;0.741;0.518;0.515
Lucena (PB);0.583;0.734;0.469;0.577
Macambira (SE);0.583;0.728;0.474;0.573
Aroazes (PI);0.583;0.752;0.468;0.563
Senador Elói de Souza (RN);0.583;0.752;0.504;0.523
Felisburgo (MG);0.583;0.744;0.462;0.577
São José da Safira (MG);0.583;0.765;0.432;0.6
Aiquara (BA);0.583;0.733;0.471;0.573
Canavieira (PI);0.583;0.778;0.485;0.525
Carnaíba (PE);0.583;0.727;0.505;0.54
Jacaré dos Homens (AL);0.583;0.759;0.481;0.543
Medicilândia (PA);0.582;0.8;0.408;0.605
Loreto (MA);0.582;0.771;0.495;0.516
Itatim (BA);0.582;0.782;0.459;0.55
Bento Fernandes (RN);0.582;0.737;0.494;0.542
Catolândia (BA);0.582;0.786;0.452;0.554
Curuçá (PA);0.582;0.758;0.48;0.542
Isaías Coelho (PI);0.582;0.767;0.41;0.628
Iracema (RR);0.582;0.81;0.434;0.56
São João da Serra (PI);0.582;0.757;0.478;0.545
Júlio Borges (PI);0.582;0.777;0.508;0.5
Rubelita (MG);0.582;0.808;0.443;0.552
Aricanduva (MG);0.582;0.787;0.454;0.553
Serra de São Bento (RN);0.582;0.741;0.482;0.551
Condeúba (BA);0.582;0.789;0.447;0.559
Alagoa Grande (PB);0.582;0.797;0.43;0.576
Alhandra (PB);0.582;0.778;0.465;0.544
Lagoa Salgada (RN);0.582;0.771;0.464;0.551
Manicoré (AM);0.582;0.747;0.456;0.58
Ubaíra (BA);0.582;0.759;0.447;0.581
Maracaçumé (MA);0.582;0.719;0.501;0.546
Acajutiba (BA);0.582;0.723;0.487;0.56
São Domingos do Maranhão (MA);0.582;0.713;0.504;0.549
Mombaça (CE);0.582;0.735;0.489;0.549
Vertentes (PE);0.582;0.728;0.45;0.602
Darcinópolis (TO);0.581;0.764;0.429;0.597
Mascote (BA);0.581;0.744;0.464;0.567
Cabaceiras do Paraguaçu (BA);0.581;0.763;0.49;0.525
Poranga (CE);0.581;0.746;0.5;0.527
Tenório (PB);0.581;0.707;0.49;0.565
Sigefredo Pacheco (PI);0.581;0.764;0.496;0.518
Camacan (BA);0.581;0.768;0.419;0.608
Curaçá (BA);0.581;0.778;0.463;0.544
Nova Olinda do Maranhão (MA);0.581;0.755;0.484;0.536
Lago do Junco (MA);0.581;0.741;0.492;0.537
São Sebastião do Maranhão (MG);0.581;0.816;0.427;0.564
Moraújo (CE);0.581;0.768;0.516;0.495
Anapurus (MA);0.581;0.764;0.502;0.511
Anajatuba (MA);0.581;0.762;0.492;0.523
Baía da Traição (PB);0.581;0.731;0.495;0.541
São Sebastião do Umbuzeiro (PB);0.581;0.763;0.459;0.561
Mata Verde (MG);0.581;0.749;0.45;0.581
Lima Campos (MA);0.581;0.705;0.481;0.578
Peixe-Boi (PA);0.581;0.754;0.478;0.543
Nova Ipixuna (PA);0.581;0.766;0.435;0.59
Aracatu (BA);0.581;0.754;0.439;0.591
Congo (PB);0.581;0.731;0.477;0.562
Vila Nova dos Martírios (MA);0.581;0.718;0.491;0.555
São José do Brejo do Cruz (PB);0.581;0.776;0.473;0.535
Fortuna (MA);0.58;0.706;0.494;0.558
São Francisco (PB);0.58;0.726;0.481;0.56
Fervedouro (MG);0.58;0.796;0.42;0.583
Paraibano (MA);0.58;0.723;0.473;0.572
Indiaroba (SE);0.58;0.772;0.475;0.533
Tamboril (CE);0.58;0.779;0.476;0.526
Ibirajuba (PE);0.58;0.753;0.476;0.545
Maurilândia do Tocantins (TO);0.58;0.724;0.498;0.542
Ponto Novo (BA);0.58;0.762;0.475;0.539
Elesbão Veloso (PI);0.58;0.758;0.45;0.573
Jaguaquara (BA);0.58;0.747;0.446;0.586
Desterro (PB);0.58;0.724;0.49;0.551
Amaraji (PE);0.58;0.748;0.454;0.575
Primavera (PE);0.58;0.767;0.444;0.572
São Bento (PB);0.58;0.769;0.424;0.597
Limoeiro de Anadia (AL);0.58;0.742;0.457;0.575
Sucupira do Norte (MA);0.579;0.731;0.505;0.526
Ipaporanga (CE);0.579;0.766;0.506;0.502
Tucano (BA);0.579;0.712;0.458;0.596
Tanque do Piauí (PI);0.579;0.704;0.499;0.553
Pilar (PB);0.579;0.775;0.461;0.544
Remanso (BA);0.579;0.757;0.451;0.569
São Desidério (BA);0.579;0.742;0.449;0.584
Banzaê (BA);0.579;0.769;0.468;0.539
Lagoa do Tocantins (TO);0.579;0.758;0.471;0.543
Canguaretama (RN);0.579;0.718;0.486;0.557
Areia Branca (SE);0.579;0.773;0.434;0.579
Cordeiros (BA);0.579;0.763;0.454;0.561
Cachoeirinha (PE);0.579;0.753;0.439;0.587
Juarez Távora (PB);0.579;0.768;0.465;0.544
Cipotânea (MG);0.579;0.75;0.437;0.592
Umbaúba (SE);0.579;0.719;0.476;0.567
Firmino Alves (BA);0.578;0.699;0.464;0.596
Alvorada do Gurguéia (PI);0.578;0.749;0.496;0.52
Curuá (PA);0.578;0.78;0.495;0.501
São José do Bonfim (PB);0.578;0.713;0.493;0.549
Bacuri (MA);0.578;0.737;0.484;0.54
Caririaçu (CE);0.578;0.73;0.483;0.549
Belém de Maria (PE);0.578;0.749;0.479;0.537
Monte Alegre do Piauí (PI);0.578;0.768;0.474;0.531
Terra Nova (BA);0.578;0.7;0.474;0.581
Coronel João Pessoa (RN);0.578;0.748;0.471;0.549
Malhada de Pedras (BA);0.578;0.747;0.471;0.549
Riachão das Neves (BA);0.578;0.779;0.471;0.527
Quixabeira (BA);0.578;0.753;0.469;0.547
Baião (PA);0.578;0.77;0.467;0.538
Machados (PE);0.578;0.767;0.466;0.541
Alcantil (PB);0.578;0.765;0.458;0.55
Antônio Martins (RN);0.578;0.76;0.458;0.554
Aparecida (PB);0.578;0.747;0.456;0.567
Taperoá (PB);0.578;0.749;0.456;0.564
Itamari (BA);0.578;0.713;0.454;0.595
Aquidabã (SE);0.578;0.747;0.452;0.573
Belém do Brejo do Cruz (PB);0.578;0.779;0.451;0.55
Piritiba (BA);0.578;0.76;0.449;0.566
Cachoeira de Pajeú (MG);0.578;0.771;0.444;0.563
Itambé (BA);0.578;0.75;0.436;0.589
Francisco Ayres (PI);0.577;0.756;0.45;0.565
Contendas do Sincorá (BA);0.577;0.695;0.477;0.579
Vereda (BA);0.577;0.777;0.436;0.568
São Sebastião do Uatumã (AM);0.577;0.739;0.464;0.561
Quixaba (PE);0.577;0.752;0.482;0.53
Brasileira (PI);0.577;0.752;0.446;0.572
União (PI);0.577;0.781;0.453;0.542
Barra do Rocha (BA);0.577;0.705;0.465;0.585
Barra D'Alcântara (PI);0.577;0.777;0.471;0.526
Autazes (AM);0.577;0.799;0.446;0.539
São José de Espinharas (PB);0.577;0.79;0.448;0.543
Tanhaçu (BA);0.577;0.772;0.44;0.565
Ibaretama (CE);0.577;0.759;0.489;0.517
Primavera (PA);0.577;0.772;0.435;0.571
Santa Cruz de Salinas (MG);0.577;0.757;0.463;0.548
Nossa Senhora Aparecida (SE);0.577;0.774;0.43;0.577
Santa Cruz dos Milagres (PI);0.577;0.719;0.509;0.524
Pindobaçu (BA);0.577;0.757;0.482;0.527
Barra de Guabiraba (PE);0.577;0.726;0.474;0.558
Mar Vermelho (AL);0.577;0.766;0.465;0.54
Cametá (PA);0.577;0.754;0.474;0.538
Gracho Cardoso (SE);0.577;0.729;0.468;0.562
Paripiranga (BA);0.577;0.717;0.472;0.567
Exu (PE);0.576;0.775;0.454;0.543
Vila Flor (RN);0.576;0.722;0.471;0.561
Rio do Antônio (BA);0.576;0.74;0.465;0.555
Goiatins (TO);0.576;0.765;0.462;0.541
João Alfredo (PE);0.576;0.72;0.466;0.569
Itaubal (AP);0.576;0.758;0.477;0.528
Água Boa (MG);0.576;0.799;0.403;0.594
Coroatá (MA);0.576;0.737;0.475;0.545
Bela Vista do Piauí (PI);0.576;0.709;0.519;0.52
Carinhanha (BA);0.576;0.763;0.477;0.525
Nazaré do Piauí (PI);0.576;0.707;0.51;0.531
Olho D'Água do Piauí (PI);0.576;0.746;0.477;0.537
Poção de Pedras (MA);0.576;0.732;0.481;0.543
Canto do Buriti (PI);0.576;0.724;0.462;0.571
Maiquinique (BA);0.576;0.69;0.472;0.586
Riachão (MA);0.576;0.757;0.442;0.572
Frei Miguelinho (PE);0.576;0.758;0.438;0.575
Ibirataia (BA);0.576;0.789;0.424;0.571
Porto Acre (AC);0.576;0.771;0.418;0.593
Irajuba (BA);0.576;0.776;0.453;0.544
Pirapemas (MA);0.576;0.741;0.514;0.501
Tarrafas (CE);0.576;0.751;0.482;0.529
Gongogi (BA);0.576;0.773;0.456;0.543
Alagoa Nova (PB);0.576;0.749;0.451;0.567
Montes Altos (MA);0.575;0.732;0.486;0.534
Chã Preta (AL);0.575;0.737;0.481;0.537
Itambé (PE);0.575;0.727;0.463;0.566
Simões (PI);0.575;0.771;0.44;0.56
Boa Hora (PI);0.575;0.772;0.46;0.534
Paes Landim (PI);0.575;0.721;0.492;0.537
Jitaúna (BA);0.575;0.704;0.479;0.563
Várzea do Poço (BA);0.575;0.707;0.462;0.581
Mocajuba (PA);0.575;0.754;0.467;0.539
Belo Campo (BA);0.575;0.76;0.444;0.562
Capixaba (AC);0.575;0.794;0.398;0.601
Jaqueira (PE);0.575;0.751;0.454;0.557
Abaré (BA);0.575;0.776;0.46;0.533
Piripá (BA);0.575;0.768;0.453;0.547
Olinda Nova do Maranhão (MA);0.575;0.724;0.531;0.495
Aratuípe (BA);0.575;0.753;0.443;0.57
Jupi (PE);0.575;0.698;0.487;0.56
Parnaguá (PI);0.575;0.777;0.464;0.526
Saboeiro (CE);0.575;0.715;0.499;0.533
Botuporã (BA);0.575;0.754;0.464;0.543
Junqueiro (AL);0.575;0.714;0.454;0.586
Barra da Estiva (BA);0.575;0.717;0.469;0.566
Bonito de Santa Fé (PB);0.574;0.786;0.427;0.564
Buriti dos Montes (PI);0.574;0.78;0.46;0.527
Igrapiúna (BA);0.574;0.789;0.424;0.565
Mogeiro (PB);0.574;0.732;0.481;0.538
Pau D'Arco (PA);0.574;0.748;0.443;0.571
Iaçu (BA);0.574;0.697;0.461;0.588
Pedra Lavrada (PB);0.574;0.733;0.458;0.564
Carutapera (MA);0.574;0.747;0.476;0.533
Januário Cicco (RN);0.574;0.771;0.481;0.511
Brejinho (PE);0.574;0.681;0.493;0.563
Santana do Piauí (PI);0.574;0.736;0.476;0.539
Barreirinha (AM);0.574;0.774;0.522;0.469
Santa Inês (BA);0.574;0.704;0.47;0.571
Riachão (PB);0.574;0.763;0.481;0.515
Pindoba (AL);0.574;0.703;0.465;0.579
Santo Antônio do Jacinto (MG);0.574;0.772;0.427;0.575
Catingueira (PB);0.574;0.753;0.455;0.553
São Félix do Tocantins (TO);0.574;0.771;0.446;0.55
Caiçara do Norte (RN);0.574;0.727;0.454;0.572
Baraúna (RN);0.574;0.756;0.446;0.562
Benjamin Constant (AM);0.574;0.763;0.471;0.526
Maragogi (AL);0.574;0.766;0.443;0.556
Alcântara (MA);0.573;0.753;0.475;0.525
São Sebastião do Tocantins (TO);0.573;0.748;0.487;0.516
Nova Olinda (PB);0.573;0.744;0.453;0.557
Cristalândia do Piauí (PI);0.573;0.77;0.469;0.521
Cerro Azul (PR);0.573;0.797;0.391;0.604
Pedra Bonita (MG);0.573;0.74;0.457;0.557
Caldeirão Grande (BA);0.573;0.758;0.473;0.526
São José da Laje (AL);0.573;0.755;0.434;0.574
São José do Peixe (PI);0.573;0.766;0.449;0.548
Ipueiras (CE);0.573;0.735;0.479;0.534
Tacaratu (PE);0.573;0.711;0.507;0.521
Manoel Emídio (PI);0.573;0.758;0.466;0.534
Carnaubeira da Penha (PE);0.573;0.755;0.508;0.491
Sossêgo (PB);0.573;0.769;0.46;0.531
Sobrado (PB);0.573;0.753;0.477;0.525
Capela (AL);0.573;0.743;0.456;0.554
Maturéia (PB);0.572;0.73;0.474;0.54
Governador Eugênio Barros (MA);0.572;0.736;0.462;0.55
Tuntum (MA);0.572;0.726;0.483;0.534
Planaltino (BA);0.572;0.708;0.462;0.573
Água Branca (PB);0.572;0.712;0.484;0.542
Itapebi (BA);0.572;0.718;0.458;0.568
Itaeté (BA);0.572;0.719;0.485;0.536
Inhangapi (PA);0.572;0.748;0.456;0.55
São Brás (AL);0.572;0.732;0.48;0.533
Touros (RN);0.572;0.716;0.466;0.562
Riachinho (TO);0.572;0.76;0.49;0.503
Sítio Novo (RN);0.572;0.722;0.491;0.528
Santa Inês (PB);0.572;0.706;0.492;0.54
Piaçabuçu (AL);0.572;0.727;0.479;0.538
Mairi (BA);0.572;0.744;0.438;0.575
Matina (BA);0.572;0.74;0.469;0.538
Olho D'Água (PB);0.572;0.776;0.452;0.533
São Bernardo (MA);0.572;0.762;0.479;0.514
Rio Real (BA);0.572;0.729;0.452;0.568
Cumaru (PE);0.572;0.72;0.47;0.553
Barra de São Miguel (PB);0.572;0.728;0.44;0.584
Alvorada de Minas (MG);0.572;0.794;0.414;0.57
Rio Grande do Piauí (PI);0.572;0.767;0.442;0.552
Angelim (PE);0.572;0.751;0.448;0.555
Ouricuri (PE);0.572;0.773;0.419;0.578
Santa Helena (MA);0.571;0.746;0.471;0.531
Caturama (BA);0.571;0.77;0.446;0.543
Calumbi (PE);0.571;0.715;0.46;0.567
Piatã (BA);0.571;0.769;0.447;0.543
Jussara (BA);0.571;0.72;0.476;0.544
Vieirópolis (PB);0.571;0.762;0.455;0.537
Novo Cruzeiro (MG);0.571;0.797;0.415;0.562
Pedro Ii (PI);0.571;0.767;0.428;0.566
Itapitanga (BA);0.571;0.764;0.454;0.536
Viçosa do Ceará (CE);0.571;0.753;0.475;0.521
Iramaia (BA);0.571;0.74;0.463;0.543
Palmeirante (TO);0.571;0.756;0.436;0.564
Barroquinha (CE);0.571;0.72;0.505;0.512
Várzea Grande (PI);0.571;0.708;0.474;0.554
Graça Aranha (MA);0.57;0.748;0.459;0.538
